,Facility Name,City,Country,IATA_Code,ICAO_Code,Lat,Lng,Alt(Feet),Hours__from UTC,TimeZone,Type
9825,Cerro Largo International Airport,Melo,Uruguay,MLZ,SUMO,-32.33789825,-54.21670151,364,-3,\N,airport
9826,Tydeo Larre Borges Airport,Paysandu,Uruguay,PDU,SUPU,-32.36330032,-58.06190109,138,-3,\N,airport
9827,Artigas International Airport,Artigas ,Uruguay,ATI,SUAG,-30.40069962,-56.50790024,410,-3,\N,airport
9829,Murray Bridge Airport,Murray Bridge,Australia,\N,YMBD,-35.06669998,139.227005,55,10,\N,airport
9830,Horsham Airport,Horsham,Australia,HSM,YHSM,-36.66970062,142.17300419999998,445,10,\N,airport
9831,Swan Hill Airport,Swan Hill,Australia,SWH,YSWH,-35.37580109,143.53300480000001,234,10,\N,airport
9834,Turtle Island Seaplane Base,Turtle Island,Fiji,TTL,NFUL,-16.965999999999998,177.368,0,12,\N,airport
9845,Dewadaru - Kemujan Island,Karimunjawa,Indonesia,KWB,WARU,-5.80091,110.47838,35,7,\N,airport
9847,Kongolo Airport,Kongolo,Congo (Kinshasa),KOO,FZRQ,-5.394440174,26.98999977,1850,1,\N,airport
9848,Attopeu Airport,Attopeu,Laos,AOU,VLAP,14.81471536,106.82169909999999,344,7,\N,airport
9849,Kahemba Airport,Kahemba,Congo (Kinshasa),\N,FZCF,-7.333000182999999,19.0170002,3425,1,\N,airport
9850,Francisco de Miranda Airport,Caracas,Venezuela,,SVFM,10.48503304,-66.84351349,2739,-4,\N,airport
9852,São Miguel do Oeste Airport,Sao Miguel do Oeste,Brazil,SQX,SSOE,-26.78160095,-53.50350189,2180,-3,\N,airport
9856,Mason County Airport,Ludington,United States,LDM,KLDM,43.96250153,-86.40789795,646,-5,\N,airport
9869,Reid-Hillview Airport of Santa Clara County,San Jose,United States,RHV,KRHV,37.332901,-121.8190002,135,8,\N,airport
9885,Sohar Airport,Sohar,Oman,OHS,OOSH,24.386039999999998,56.625409999999995,20,4,\N,airport
9888,Kadanwari Airport,Kadanwari,Pakistan,KCF,OPKW,27.206389,69.156389,250,5,\N,airport
9889,Sahiwal Airport,Sindh,Pakistan,RZS,OPSW,31.88944435,72.39167023,570,5,\N,airport
9894,Rose Bay Airport,Sydney,Australia,RSE,\N,-33.8666667,151.2666667,0,10,\N,airport
9909,Thamkharka Airport,Thamkharka,Nepal,\N,VNTH,27.04787,86.85802199999999,5240,5.75,\N,airport
9910,Thimarafushi Airport,Thimarafushi,Maldives,TMF,VRNT,2.211,73.1533,6,5,\N,airport
9911,Ifuru Airport,Ifuru,Maldives,IFU,VREI,5.7083,73.025,20,5,\N,airport
9912,Kieta Airport,Kieta,Papua New Guinea,KIE,AYKT,-6.305416667,155.7281389,20,10,\N,airport
9913,Ordu Giresun Airport,Ordu-Giresun,Turkey,OGU,LTCB,40.966667,38.066666999999995,18,2,\N,airport
9914,Hakkari Yüksekova Airport,Hakkari,Turkey,YKO,LTCW,37.5497,44.2381,6090,2,\N,airport
9915,SEA Seaplane,Seattle,United States,\N,\N,47.6321326,-122.32759240000001,0,-7,\N,airport
9943,Jelenia Góra Glider Airport,Jelenia Gora,Poland,\N,EPJG,50.89889908,15.78559971,1119,1,\N,airport
9946,Bathpalathang Airport,Jakar,Bhutan,BUT,VQBT,27.5622,90.7471,8485,6,\N,airport
9958,Sultan Bantilan Airport,Toli-Toli,Indonesia,TLI,WAMI,1.123428,120.79365800000001,40,8,\N,airport
9959,Methow Valley State Airport,Winthrop,United States,S52,\N,48.4249483,-120.14588559999999,1706,-7,\N,airport
9960,Lake Chelan Airport,Chelan,United States,S10,\N,47.86601029999999,-119.9427017,1263,-7,\N,airport
9961,Lost River Resort Airport,Mazma,United States,W12,\N,48.6495842,-120.50204440000002,2415,-7,\N,airport
9962,Stehekin State Airport,Stehekin,United States,6S9,\N,48.3457778,-120.72080559999999,1230,-7,\N,airport
9963,Vuktyl Airport,Vuktyl,Russia,\N,UUYK,63.82329941,57.27999878,358,3,\N,airport
9964,Berezniki Airport,Berezniki,Russia,\N,USPT,59.57954788,56.85768127,207,6,\N,airport
9988,San Sebastián Airport,San Sebastian,Chile,\N,SCSS,-53.31700134,-68.65000153,50,-4,\N,airport
9990,Tolwin Observatory Airport,Tolhuin,Argentina,\N,SAWL,-54.52190018,-67.1989975,90,-3,\N,airport
9993,Tarko-Sale Airport,Tarko-Sale,Russia,TQL,USDS,64.93080139,77.81809998,82,5,\N,airport
9995,Camarillo Airport,Camarillo - CA,United States,\N,KCMA,34.21369934,-119.09400179999999,77,-8,\N,airport
10009,Leopoldsburg Airfield,Leopoldsburg,Belgium,\N,EBLE,51.12,5.3072222,207,1,\N,airport
10025,Vamizi island airport,Vamizi island,Mozambique,\N,\N,-11.029000000000002,40.663000000000004,0,3,\N,airport
10031,Angsana Velavaru TMA Seaplane Dock,Meedhoo,Maldives,\N,\N,2.986738,73.01216600000001,5,6,\N,airport
10036,Omtepe Airport,Moyogalpa,Nicaragua,\N,MNLP,11.523616,-85.702995,200,-6,\N,airport
10055,Alashankou Bole (Bortala) airport,Bole,China,BPL,ZWAX,44.895,82.3,1253,8,\N,airport
